# name: tr
# type: matrix
# rows: 2000
# columns: 2
3.634407 3.283591
3.587172 3.005459
3.484509 3.767191
3.562224 3.584266
3.471377 3.364281
3.329231 3.653516
3.728997 3.616193
3.138978 3.029902
3.057782 3.623383
2.753598 0.614231
2.821973 0.173738
2.358656 0.641879
2.789931 0.497634
2.671781 0.847713
2.211926 0.842342
2.501312 0.848564
2.449461 0.502335
2.853754 0.726951
2.740126 0.540452
0.597455 2.904818
0.850774 2.295038
0.794827 2.535597
0.579792 2.690294
0.704929 2.722646
0.238895 2.549435
0.427786 2.151777
0.723173 2.786441
0.793656 2.604013
0.374984 2.556346
3.542635 1.586910
3.489597 1.134856
3.526383 1.029967
3.637191 1.471046
3.756917 1.468226
3.102407 1.445282
3.463954 1.044091
3.740319 1.349689
3.579688 1.411020
3.130893 1.375525
0.224575 0.369788
0.015870 0.652361
0.521565 0.739043
0.529711 0.406130
0.433965 0.904695
0.053385 0.067509
0.582515 0.542982
0.202366 0.199807
0.572948 0.839557
0.670853 0.420775
3.615049 3.542128
3.053510 3.509883
3.512379 3.220569
3.017192 3.312583
3.008249 3.839720
3.546752 3.700624
3.806543 3.848430
3.157332 3.407256
3.443382 3.722938
3.580917 3.877892
1.115154 3.206865
1.860841 3.012606
1.146204 3.109081
1.419862 3.589586
1.832019 3.091688
1.558388 3.064143
1.357951 3.451301
1.396895 3.266525
1.221881 3.829446
1.514695 3.173372
2.031560 2.392585
2.739912 2.684893
2.323985 2.907245
2.032424 2.475953
2.182679 2.601629
2.636170 2.297833
2.808494 2.587920
2.310439 2.045607
2.697001 2.730300
2.635194 2.619929
2.821988 0.284491
2.684072 0.270848
2.735792 0.171876
2.537373 0.048581
2.092231 0.142977
2.221953 0.123791
2.535562 0.052775
2.808685 0.859547
2.050929 0.841109
2.426409 0.233608
1.533647 3.153488
1.531441 3.433050
1.741408 3.841880
1.478657 3.529318
1.663089 3.204760
1.240156 3.575986
1.489250 3.015137
1.846835 3.315951
1.187013 3.475117
1.364532 3.279244
2.087640 0.716039
2.860396 0.092255
2.249906 0.217564
2.736130 0.086402
2.678846 0.252012
2.157546 0.852467
2.691693 0.087892
2.891917 0.768430
2.310491 0.629512
2.415013 0.394907
1.594571 3.294530
1.545902 3.118160
1.073877 3.343634
1.124506 3.599889
1.104054 3.800621
1.529500 3.191694
1.607569 3.480804
1.283949 3.857475
1.698369 3.110987
1.034786 3.468124
3.363000 1.192332
3.411500 1.145602
3.280224 1.394326
3.004941 1.590715
3.114747 1.419954
3.076531 1.709319
3.714484 1.622433
3.827479 1.788361
3.056976 1.042893
3.479159 1.161030
1.296101 3.790400
1.552364 3.094704
1.732535 3.681563
1.362523 3.333451
1.358399 3.247445
1.545131 3.062032
1.819590 3.392908
1.801120 3.613500
1.418774 3.428763
1.265847 3.204014
1.223701 3.524292
1.273790 3.114618
1.681312 3.436505
1.441696 3.174987
1.780787 3.121262
1.266520 3.167798
1.002571 3.818883
1.262501 3.735106
1.591355 3.625025
1.159466 3.040663
3.799102 3.896949
3.473873 3.258436
3.163760 3.326588
3.399082 3.776168
3.620998 3.714715
3.351181 3.127580
3.387777 3.093991
3.545823 3.879722
3.099303 3.790082
3.144840 3.729640
3.579824 1.393521
3.007790 1.905492
3.330661 1.841290
3.090259 1.240567
3.728204 1.264597
3.169117 1.663365
3.346102 1.006322
3.634633 1.808646
3.010619 1.805768
3.160637 1.581090
0.796302 0.468044
0.883471 0.594327
0.585920 0.895436
0.726096 0.354242
0.468665 0.293137
0.578778 0.672886
0.785631 0.485192
0.531171 0.090572
0.864441 0.294323
0.524072 0.039435
1.715634 3.470657
1.840095 3.388450
1.712857 3.126223
1.641182 3.211423
1.542830 3.007164
1.744638 3.430041
1.475208 3.719018
1.115277 3.152037
1.705363 3.841374
1.506280 3.264938
3.225420 3.175967
3.028733 3.101961
3.661160 3.559904
3.192533 3.616510
3.854227 3.716605
3.655945 3.660769
3.278170 3.586949
3.140129 3.081936
3.713172 3.781310
3.293359 3.346911
2.345340 0.853603
2.309382 0.461470
2.036443 0.841199
2.516433 0.111513
2.061462 0.306500
2.102005 0.294633
2.096611 0.233339
2.807589 0.824588
2.607477 0.443308
2.323062 0.507859
0.727390 2.355353
0.651090 2.497600
0.673137 2.406251
0.340886 2.507452
0.764367 2.061329
0.639610 2.200617
0.005841 2.039901
0.662087 2.042284
0.881100 2.269429
0.153797 2.033471
0.478934 2.359378
0.899530 2.484775
0.399279 2.652526
0.527059 2.371288
0.012864 2.680856
0.404759 2.588793
0.027567 2.732862
0.352242 2.516709
0.050373 2.031188
0.704236 2.720283
0.238076 2.857347
0.078724 2.265643
0.681118 2.430966
0.782352 2.731492
0.462154 2.577496
0.542684 2.495350
0.158936 2.842085
0.885908 2.177762
0.309114 2.488782
0.131133 2.193747
0.720515 0.783417
0.557314 0.402535
0.517049 0.496565
0.483835 0.903207
0.053785 0.027332
0.393138 0.291861
0.884679 0.471862
0.557504 0.656706
0.902828 0.430764
0.479107 0.455891
0.824098 0.253798
0.014272 0.553799
0.744885 0.580625
0.329195 0.345850
0.673754 0.459399
0.454562 0.424795
0.229067 0.882448
0.617162 0.195515
0.213859 0.858815
0.855306 0.750813
2.234779 0.444045
2.702460 0.047282
2.162683 0.044387
2.768186 0.568724
2.342392 0.573046
2.274750 0.257399
2.826844 0.289022
2.811198 0.662639
2.869646 0.231302
2.099397 0.634310
0.690701 0.553960
0.150014 0.010678
0.527317 0.767176
0.206192 0.741176
0.716900 0.152408
0.582898 0.042588
0.596453 0.376267
0.089871 0.759136
0.420654 0.858057
0.418770 0.763046
1.522012 3.693519
1.111354 3.439766
1.073450 3.013461
1.193314 3.034006
1.244763 3.292711
1.668316 3.026373
1.846671 3.818330
1.037051 3.464897
1.676415 3.243243
1.296982 3.484224
0.195270 0.002937
0.108526 0.132850
0.821267 0.145577
0.597747 0.588591
0.388820 0.894729
0.163724 0.784471
0.865518 0.690537
0.867484 0.303484
0.398129 0.800542
0.162104 0.054687
2.425027 0.616425
2.662399 0.646759
2.103833 0.308847
2.501184 0.651133
2.843294 0.769647
2.301984 0.875124
2.804130 0.722043
2.086540 0.741088
2.806124 0.668461
2.675366 0.661615
3.364124 3.668839
3.068750 3.259163
3.481791 3.155290
3.091160 3.378824
3.823751 3.766526
3.131348 3.579140
3.450697 3.689354
3.570199 3.265959
3.419733 3.277208
3.125529 3.259422
2.379952 0.663180
2.016869 0.015927
2.185623 0.761156
2.133693 0.772447
2.687513 0.630282
2.364841 0.471305
2.349128 0.536374
2.705795 0.757329
2.369016 0.297153
2.676171 0.478865
1.701134 3.471451
1.617989 3.141172
1.098734 3.414693
1.898501 3.467750
1.711846 3.665580
1.037524 3.725886
1.610924 3.807999
1.688701 3.349581
1.754646 3.691844
1.408073 3.295926
2.813374 2.660154
2.772596 2.515207
2.559062 2.552206
2.864788 2.404617
2.334959 2.363771
2.700543 2.421253
2.362082 2.008609
2.565176 2.876589
2.162926 2.043262
2.850269 2.388094
0.537048 2.061542
0.405306 2.593194
0.799895 2.563689
0.748074 2.134760
0.711483 2.461613
0.181470 2.615765
0.212676 2.044976
0.221881 2.771738
0.597182 2.177579
0.267264 2.023050
3.541349 3.058716
3.444303 3.903431
3.067325 3.100388
3.870929 3.230251
3.143650 3.812107
3.618345 3.680698
3.873649 3.114560
3.364802 3.764453
3.678250 3.203785
3.899213 3.480641
3.665399 3.171592
3.187316 3.878075
3.216568 3.409197
3.740722 3.813750
3.586776 3.098896
3.836800 3.219034
3.157612 3.372011
3.213374 3.224937
3.472400 3.175212
3.455188 3.616050
3.612063 3.108800
3.112942 3.769675
3.480811 3.326316
3.085521 3.044120
3.501528 3.540708
3.660170 3.579757
3.705150 3.138736
3.622544 3.075062
3.891195 3.520694
3.123222 3.029258
2.272977 0.093348
2.262688 0.318370
2.478237 0.737083
2.822815 0.468291
2.138558 0.184352
2.576676 0.466385
2.115072 0.506366
2.011183 0.727916
2.117943 0.162853
2.531019 0.406020
2.056424 0.025909
2.093122 0.352066
2.701435 0.793492
2.279424 0.452866
2.764009 0.729694
2.709988 0.127895
2.823042 0.063585
2.446265 0.392189
2.800668 0.359989
2.860480 0.030135
0.470778 2.255319
0.741057 2.596854
0.088653 2.001921
0.515274 2.715479
0.451300 2.886559
0.288132 2.721282
0.149651 2.897770
0.905215 2.385420
0.135491 2.572246
0.512765 2.642293
0.190665 2.670245
0.784344 2.337150
0.415154 2.676718
0.608974 2.667766
0.138238 2.214990
0.681843 2.609017
0.470310 2.513809
0.296780 2.558963
0.515730 2.812054
0.365351 2.057939
2.536834 0.314512
2.709348 0.317165
2.700620 0.766572
2.512650 0.854356
2.523680 0.466810
2.237239 0.495778
2.193722 0.229139
2.029095 0.434442
2.517818 0.121374
2.281801 0.709461
3.507533 1.808322
3.361588 1.701255
3.128370 1.390683
3.226607 1.646188
3.512057 1.508408
3.446558 1.181971
3.695507 1.319001
3.053907 1.658035
3.293600 1.770028
3.262244 1.785856
1.380714 3.855727
1.905856 3.305911
1.340376 3.433930
1.022638 3.591597
1.474653 3.593721
1.457407 3.073096
1.492951 3.818996
1.774351 3.621321
1.300588 3.091867
1.358418 3.812645
1.081740 1.289091
1.270565 1.599192
1.649174 1.857559
1.033172 1.420030
1.225814 1.502447
1.602619 1.551929
1.092391 1.888122
1.822701 1.706709
1.754143 1.343923
1.666653 1.336314
2.533174 0.881681
2.032516 0.866613
2.823785 0.187262
2.817166 0.270869
2.576353 0.291688
2.841653 0.658092
2.580779 0.203128
2.348194 0.320862
2.151596 0.381366
2.740893 0.377409
2.883813 0.434420
2.020248 0.067113
2.413452 0.842949
2.773822 0.258503
2.277781 0.531384
2.594818 0.810955
2.503974 0.627333
2.768477 0.418669
2.814596 0.676552
2.689537 0.481858
2.489277 2.675603
2.578893 2.084160
2.393845 2.438279
2.502829 2.299350
2.205740 2.283275
2.781208 2.264889
2.905374 2.102976
2.904817 2.821511
2.682029 2.047425
2.889243 2.733357
2.351821 2.483737
2.727490 2.348105
2.586713 2.723216
2.260525 2.359652
2.770641 2.240677
2.183918 2.701566
2.665971 2.034234
2.041322 2.647563
2.886804 2.112450
2.119313 2.788176
2.196035 0.902517
2.092685 0.862005
2.027660 0.134007
2.600478 0.005373
2.246457 0.719791
2.793549 0.510820
2.078792 0.154191
2.693608 0.165466
2.898733 0.279575
2.509000 0.802731
2.024803 0.333800
2.155325 0.436080
2.377751 0.103923
2.875016 0.555708
2.653000 0.410234
2.071032 0.103686
2.739002 0.097174
2.542255 0.312869
2.816925 0.237199
2.785469 0.907159
1.441142 3.242618
1.565464 3.142040
1.758317 3.473165
1.873517 3.209217
1.080118 3.346960
1.368858 3.104922
1.680760 3.524183
1.541001 3.149420
1.628106 3.506926
1.705128 3.372015
2.008070 0.776160
2.475701 0.747072
2.873334 0.108865
2.150849 0.781168
2.346064 0.027227
2.779236 0.787206
2.269846 0.435609
2.020155 0.119072
2.908774 0.893672
2.328290 0.079802
2.347688 2.531292
2.302924 2.617534
2.057810 2.323079
2.736606 2.057494
2.307660 2.155805
2.137295 2.639201
2.852952 2.322019
2.742410 2.256101
2.138653 2.085949
2.287356 2.462213
3.414274 1.466278
3.009652 1.358135
3.788297 1.752062
3.614236 1.017859
3.838011 1.901592
3.480072 1.063535
3.683126 1.364824
3.113886 1.434542
3.419187 1.044217
3.264702 1.794011
3.842499 1.761322
3.343270 1.031352
3.281783 1.594352
3.008502 1.554306
3.550579 1.003511
3.755748 1.499307
3.478591 1.111635
3.222070 1.409404
3.490499 1.379375
3.759405 1.004489
3.522660 3.093252
3.700703 3.092160
3.204887 3.013683
3.501565 3.695385
3.393058 3.351879
3.699874 3.285350
3.437115 3.854049
3.210230 3.455612
3.189102 3.336175
3.536668 3.734989
0.075982 2.028149
0.460428 2.513096
0.882198 2.670659
0.059618 2.162209
0.097743 2.596285
0.897198 2.901285
0.755240 2.293300
0.206242 2.879751
0.200049 2.112580
0.655079 2.625948
1.265512 3.631805
1.665415 3.511696
1.400142 3.797044
1.053676 3.182163
1.521146 3.291041
1.357241 3.597128
1.319190 3.817670
1.201133 3.292296
1.579237 3.260750
1.454505 3.676980
3.857036 3.442612
3.669174 3.703184
3.735912 3.875416
3.673844 3.026870
3.078905 3.419833
3.652818 3.344417
3.142547 3.409142
3.856113 3.542689
3.297095 3.000698
3.724852 3.818241
1.053417 3.012619
1.565647 3.035577
1.201410 3.366755
1.753650 3.356527
1.841708 3.589501
1.590548 3.827402
1.169079 3.259895
1.046552 3.157799
1.785355 3.717483
1.443614 3.402423
3.295083 3.638580
3.311229 3.045686
3.430731 3.830963
3.786961 3.021203
3.435741 3.370872
3.579835 3.489158
3.383491 3.236391
3.524736 3.584901
3.603146 3.369294
3.032337 3.535763
3.133310 1.779980
3.279120 1.682995
3.434494 1.019817
3.754321 1.010880
3.547473 1.846850
3.023008 1.536911
3.610123 1.524294
3.000749 1.609787
3.641225 1.049489
3.303507 1.218359
1.130565 3.532989
1.754288 3.834526
1.307454 3.599910
1.603085 3.582546
1.822114 3.221598
1.257565 3.046333
1.092487 3.536685
1.729329 3.526980
1.556502 3.574559
1.537861 3.194884
1.512319 1.560869
1.731796 1.213351
1.176072 1.732545
1.823138 1.817297
1.782034 1.217554
1.126565 1.003508
1.750542 1.880853
1.838033 1.148905
1.571672 1.532028
1.731451 1.484696
0.753626 2.079925
0.531029 2.846112
0.616610 2.351267
0.464002 2.264021
0.016736 2.092771
0.458905 2.529054
0.653640 2.281610
0.742405 2.829711
0.105064 2.656452
0.737917 2.887098
2.874006 0.864482
2.890605 0.715457
2.836244 0.819548
2.864362 0.498826
2.442485 0.686722
2.074430 0.287019
2.766647 0.605460
2.224041 0.474166
2.047636 0.688042
2.738187 0.064371
0.576843 0.205892
0.054084 0.807043
0.840088 0.908556
0.055306 0.475651
0.809209 0.711485
0.553698 0.487493
0.533003 0.009674
0.023334 0.050890
0.598781 0.033340
0.525504 0.057749
1.441216 3.767879
1.384736 3.896577
1.856716 3.406057
1.373846 3.035928
1.482683 3.326765
1.024349 3.361704
1.833382 3.500264
1.773727 3.440583
1.090421 3.327550
1.646565 3.623008
3.026400 3.036675
3.446582 3.859782
3.536939 3.311218
3.391274 3.627360
3.638768 3.128748
3.341277 3.136553
3.129953 3.460225
3.778153 3.692419
3.074657 3.215011
3.151545 3.789926
1.384995 1.781129
1.128228 1.413768
1.886358 1.363109
1.390165 1.488552
1.062744 1.402491
1.573430 1.089143
1.439166 1.110921
1.039834 1.067014
1.422139 1.431108
1.694374 1.151816
0.367565 0.536026
0.160163 0.864285
0.297440 0.422278
0.429181 0.421963
0.165467 0.482629
0.609229 0.311147
0.200417 0.885638
0.895994 0.029126
0.292791 0.638764
0.279974 0.131051
0.166818 2.682638
0.529167 2.730523
0.464580 2.708003
0.062831 2.403954
0.450884 2.056581
0.715770 2.818449
0.592607 2.875933
0.773643 2.890047
0.389120 2.293733
0.402919 2.554587
1.776363 1.103057
1.865734 1.067689
1.079604 1.852637
1.096815 1.372395
1.582311 1.376788
1.503446 1.749128
1.150335 1.123523
1.570560 1.614915
1.831525 1.633391
1.109779 1.373319
1.849526 3.906774
1.240454 3.090770
1.121206 3.811015
1.705685 3.043640
1.535315 3.815464
1.416959 3.316195
1.731922 3.699635
1.689683 3.615223
1.846864 3.135035
1.887643 3.378736
2.666525 0.098930
2.446882 0.515808
2.316868 0.647494
2.194929 0.389746
2.737782 0.550752
2.452598 0.696298
2.143831 0.488732
2.419511 0.570227
2.432783 0.587541
2.165560 0.250320
3.127303 1.889299
3.314092 1.271134
3.468941 1.733603
3.841361 1.901724
3.412053 1.097830
3.242953 1.292485
3.563292 1.553191
3.398402 1.782016
3.623217 1.074220
3.865109 1.640688
2.711393 2.603857
2.769666 2.365594
2.247958 2.258976
2.238519 2.871175
2.333196 2.194537
2.602772 2.038573
2.663464 2.109273
2.383129 2.273999
2.815578 2.774640
2.582728 2.189343
3.693761 1.509251
3.599502 1.593090
3.749866 1.371704
3.052270 1.814993
3.076176 1.413174
3.383083 1.787570
3.107940 1.243657
3.244073 1.355898
3.502634 1.482592
3.317983 1.835830
3.426197 3.397627
3.399398 3.405495
3.304807 3.082057
3.225568 3.583690
3.726076 3.860634
3.029659 3.874178
3.060602 3.263198
3.221130 3.413317
3.740809 3.833070
3.359575 3.791921
0.526252 0.580466
0.522189 0.086225
0.190253 0.031075
0.412430 0.699365
0.257432 0.415414
0.441681 0.277972
0.565199 0.622529
0.048115 0.686394
0.198300 0.269121
0.280705 0.904749
1.359346 3.772591
1.697832 3.209718
1.261723 3.878639
1.220434 3.811926
1.503843 3.588576
1.357979 3.121004
1.259951 3.880168
1.207229 3.450203
1.002152 3.619659
1.240477 3.259584
3.478859 0.699922
3.363844 0.810481
3.257559 0.320417
3.734295 0.835479
3.063414 0.863025
3.478178 0.078233
3.174740 0.602934
3.809302 0.317175
3.058338 0.018203
3.416092 0.057360
1.625329 2.150886
1.400095 2.800068
1.753819 2.300306
1.208153 2.812157
1.318509 2.624245
1.869517 2.535127
1.597549 2.780615
1.399600 2.839973
1.362215 2.740697
1.622017 2.828156
1.438628 2.196205
1.863866 2.836480
1.134236 2.800966
1.582801 2.392685
1.563270 2.255509
1.714547 2.279507
1.406394 2.205551
1.170485 2.251122
1.505858 2.378638
1.154188 2.824367
1.093792 2.114614
1.450404 2.691341
1.895229 2.850004
1.622223 2.348353
1.681610 2.335149
1.267419 2.211147
1.531353 2.222193
1.138536 2.665590
1.114068 2.721337
1.149184 2.677338
0.203324 3.591938
0.464260 3.883151
0.254584 3.496461
0.653881 3.102982
0.428621 3.538673
0.858471 3.409925
0.305774 3.770622
0.395012 3.002938
0.313585 3.544074
0.757494 3.212629
0.614069 1.439046
0.438123 1.277232
0.647352 1.165960
0.565293 1.037149
0.376349 1.632713
0.612670 1.579673
0.315560 1.167839
0.553733 1.570144
0.664299 1.298522
0.673126 1.183830
3.894876 0.003253
3.752174 0.301345
3.171092 0.396815
3.871488 0.835391
3.695338 0.635523
3.110130 0.623442
3.348938 0.703885
3.857319 0.832975
3.783561 0.185044
3.721506 0.498220
2.270262 3.822666
2.826948 3.794526
2.452858 3.523818
2.147961 3.249010
2.785981 3.447635
2.421511 3.771766
2.450889 3.264594
2.164019 3.621980
2.661409 3.126417
2.548281 3.447656
2.761940 1.658411
2.162007 1.201787
2.453205 1.110235
2.125671 1.327675
2.295279 1.847178
2.825895 1.565541
2.760753 1.743752
2.450977 1.304520
2.358479 1.598937
2.553530 1.235369
2.108283 3.536033
2.526032 3.481727
2.540950 3.329015
2.276623 3.807930
2.433259 3.154382
2.554299 3.477952
2.562659 3.541997
2.212415 3.754371
2.063718 3.089852
2.839753 3.154227
0.170560 3.562689
0.636637 3.516210
0.001023 3.005190
0.277490 3.237791
0.595789 3.779596
0.164692 3.310322
0.606673 3.799099
0.593914 3.284754
0.804558 3.169332
0.142854 3.457692
1.398693 0.773260
1.866057 0.862646
1.817351 0.697285
1.303245 0.487948
1.199215 0.434137
1.863473 0.423790
1.803925 0.879343
1.167059 0.416399
1.709294 0.696771
1.822529 0.234169
0.692375 3.875913
0.301678 3.365799
0.509804 3.504044
0.565606 3.173662
0.434510 3.327368
0.594436 3.833202
0.191538 3.551402
0.786758 3.099798
0.339596 3.180912
0.587746 3.538811
1.141215 2.266263
1.802004 2.332753
1.817665 2.679671
1.432551 2.248170
1.860582 2.111205
1.786981 2.566540
1.653333 2.840490
1.167333 2.256622
1.151969 2.184525
1.569205 2.160217
3.618094 2.586485
3.403035 2.244566
3.639260 2.302629
3.195022 2.690189
3.234647 2.621431
3.014707 2.768294
3.774919 2.546148
3.292252 2.607237
3.478937 2.770909
3.227464 2.232934
1.066578 2.467620
1.808921 2.555828
1.482757 2.746664
1.871779 2.669770
1.312690 2.327220
1.039923 2.021694
1.004615 2.442958
1.266260 2.643875
1.745587 2.461281
1.424974 2.071144
2.173621 1.439680
2.839437 1.039450
2.076737 1.222598
2.646686 1.555674
2.084417 1.874150
2.788608 1.150995
2.432679 1.688438
2.706823 1.006346
2.526011 1.669511
2.676116 1.838702
0.843514 3.099568
0.352724 3.541992
0.580372 3.636672
0.490376 3.369650
0.747660 3.525162
0.837774 3.201569
0.717494 3.340183
0.347171 3.088628
0.734508 3.352111
0.679343 3.849256
1.772065 2.755874
1.649483 2.577458
1.469217 2.567871
1.456728 2.526193
1.610764 2.026797
1.687223 2.545188
1.126364 2.130856
1.178089 2.706737
1.767528 2.668465
1.167296 2.606097
3.284536 2.095978
3.807666 2.092939
3.436161 2.245746
3.181567 2.261579
3.597857 2.860910
3.201743 2.460832
3.707693 2.851227
3.129199 2.267819
3.510007 2.585927
3.794013 2.211680
2.612724 3.572145
2.756868 3.739088
2.703001 3.025866
2.536734 3.561438
2.694331 3.704029
2.258445 3.069776
2.800008 3.157020
2.162715 3.327078
2.402766 3.344282
2.588657 3.091532
2.872469 3.704598
2.102695 3.782968
2.188415 3.903815
2.487377 3.607189
2.423486 3.753224
2.811203 3.647187
2.368425 3.175902
2.761805 3.140646
2.612407 3.294411
2.315633 3.484104
1.415672 0.582153
1.651901 0.418243
1.491945 0.005312
1.244258 0.174209
1.630337 0.403725
1.214873 0.593715
1.199232 0.317567
1.467592 0.387647
1.312291 0.045878
1.085745 0.735777
0.284715 3.359713
0.414264 3.483947
0.677280 3.881856
0.871594 3.080480
0.018644 3.048248
0.816257 3.817746
0.036106 3.381040
0.167092 3.199867
0.707628 3.566174
0.066944 3.419535
2.371798 1.418124
2.547115 1.759575
2.512115 1.183848
2.730206 1.611418
2.064838 1.875046
2.431967 1.349554
2.325668 1.846231
2.833501 1.093858
2.818997 1.796004
2.174338 1.837641
2.844252 1.081505
2.746296 1.880359
2.462544 1.004297
2.171135 1.261081
2.570471 1.238078
2.680617 1.033178
2.656202 1.318641
2.792753 1.259227
2.502489 1.613868
2.870645 1.567327
1.134755 0.841253
1.614268 0.790957
1.250804 0.497930
1.141093 0.753292
1.202707 0.102647
1.411528 0.782531
1.496168 0.419318
1.778933 0.826829
1.351518 0.869192
1.158305 0.170630
0.224698 1.327422
0.833995 1.570800
0.333744 1.559537
0.470355 1.344363
0.456214 1.630992
0.016362 1.590969
0.563154 1.630629
0.472835 1.813958
0.219468 1.613927
0.658159 1.422175
2.716574 1.160597
2.295616 1.303651
2.579915 1.165457
2.221389 1.022341
2.125558 1.379694
2.192972 1.350256
2.707116 1.117876
2.011965 1.131769
2.677413 1.482320
2.476132 1.224536
0.204221 3.492494
0.815505 3.767375
0.214032 3.379249
0.672242 3.433500
0.084085 3.421311
0.855675 3.800659
0.581908 3.242200
0.195219 3.252731
0.407657 3.416608
0.275073 3.533215
2.788474 1.128906
2.776953 1.354591
2.847924 1.892230
2.506629 1.644196
2.824513 1.103817
2.000043 1.140842
2.279785 1.028776
2.242803 1.031854
2.588680 1.435336
2.648364 1.533815
2.242849 1.395218
2.285494 1.521020
2.073076 1.425622
2.602956 1.786248
2.297842 1.896315
2.224069 1.177225
2.116130 1.091931
2.531816 1.054963
2.075070 1.129354
2.699159 1.899583
1.233171 0.699201
1.131335 0.512956
1.727977 0.374137
1.544810 0.407566
1.809473 0.284082
1.032290 0.143232
1.679301 0.317784
1.664251 0.752377
1.743406 0.358116
1.629534 0.132157
0.575929 3.255802
0.328104 3.672540
0.489141 3.226602
0.588037 3.187527
0.669910 3.002008
0.695386 3.488209
0.357361 3.437386
0.076718 3.121407
0.843636 3.417604
0.628859 3.698913
0.033196 3.490531
0.299402 3.390558
0.018826 3.376120
0.511965 3.862462
0.793724 3.231733
0.652284 3.363567
0.591111 3.642723
0.848342 3.081300
0.386158 3.466310
0.452588 3.399022
3.099170 2.112700
3.042150 2.258106
3.045694 2.018967
3.435868 2.354808
3.507749 2.567001
3.548556 2.319173
3.441327 2.196779
3.721708 2.049285
3.693344 2.296452
3.043402 2.747129
2.323784 3.436539
2.129899 3.299371
2.908401 3.687403
2.046987 3.902138
2.209076 3.526093
2.448938 3.308246
2.638793 3.491088
2.566353 3.684487
2.510055 3.093130
2.130204 3.108713
2.660131 3.678759
2.427885 3.192368
2.875538 3.240502
2.241653 3.659792
2.536954 3.285055
2.497830 3.860738
2.721594 3.627729
2.251018 3.720904
2.406041 3.298005
2.713951 3.615117
2.395651 3.879880
2.526813 3.083013
2.347057 3.616683
2.842149 3.767711
2.565649 3.351828
2.621666 3.178571
2.136256 3.733020
2.618336 3.209707
2.746481 3.811650
2.243712 3.082153
3.243279 0.783770
3.233258 0.379536
3.607699 0.851594
3.589242 0.445088
3.754153 0.832955
3.527241 0.040333
3.835892 0.635767
3.173183 0.748068
3.781344 0.770930
3.427568 0.261074
3.756568 0.591292
3.136453 0.712995
3.372738 0.094846
3.107388 0.770866
3.895389 0.269491
3.825553 0.229577
3.144170 0.149720
3.609113 0.751869
3.092223 0.289264
3.287866 0.846377
3.213128 0.815108
3.886709 0.139930
3.541784 0.150802
3.887998 0.414038
3.012641 0.406475
3.675111 0.769209
3.088676 0.811565
3.573113 0.461414
3.906411 0.680501
3.323189 0.892709
3.040901 0.239651
3.213195 0.185071
3.389371 0.822308
3.027849 0.481595
